"Title"	"Series"	"Contributors"	"Average Rating"	"Number of Ratings"	"Number of Reviews"	"Description"	"Number of Pages"	"Publishing Date"	"Genres"	"Setting"	"Characters"	"ISBN"	"Language"	"URL"
"Circe"	"None"	"Madeline Miller"	"4.22"	"1,325,095"	"131,966"	"In the house of Helios, god of the sun and mightiest of the Titans, a daughter is born. But Circe is a strange child--neither powerful like her father nor viciously alluring like her mother. Turning to the world of mortals for companionship, she discovers that she does possess power: the power of witchcraft, which can transform rivals into monsters and menace the gods themselves.Threatened, Zeus banishes her to a deserted island, where she hones her occult craft, tames wild beasts, and crosses paths with many of the most famous figures in all of mythology, including the Minotaur, Daedalus and his doomed son Icarus, the murderous Medea, and, of course, wily Odysseus.But there is danger, too, for a woman who stands alone, and Circe unwittingly draws the wrath of both men and gods, ultimately finding herself pitted against one of the most terrifying and vengeful of the Olympians. To protect what she loves most, Circe must summon all her strength and choose, once and for all, whether she belongs with the gods she is born from or with the mortals she has come to love."	"393"	"April 10, 2018"	"Fantasy; Mythology; Fiction; Historical Fiction; Greek Mythology; Book Club; Audiobook"	"Aeaea,Ancient Greece(Greece)"	"Jason (Argonaut),Odysseus,Penelope (wife of Odysseus),Glaucus,Prometheus (mythology),Athena (Greek goddess),Circe,Telemachus,Medea of Colchis,Daedalus (mythology),Aeëtes,Minos,Scylla,Hermes,Minotaur,Helius (mythology),Icarus (mythology),Ariadne (mythology),Telegonus,Pasiphae,Perse (mythology),Perses of Colchis"	"9780316556347(ISBN10: 0316556343)"	"English"	"https://www.goodreads.com/book/show/35959740-circe"
"A Portrait of the Artist as a Young Man"	"None"	"James Joyce; Seamus Deane"	"3.64"	"163,158"	"9,148"	"The portrayal of Stephen Dedalus's Dublin childhood and youth, his quest for identity through art and his gradual emancipation from the claims of family, religion and Ireland itself, is also an oblique self-portrait of the young James Joyce and a universal testament to the artist's 'eternal imagination'. Both an insight into Joyce's life and childhood, and a unique work of modernist fiction,A Portrait of the Artist as a Young Manis a novel of sexual awakening, religious rebellion and the essential search for voice and meaning that every nascent artist must face in order to blossom fully into themselves."	"329"	"March 25, 2003"	"Classics; Fiction; Literature; Irish Literature; Ireland; Novels; 20th Century"	"Clongowes Wood College, Kildare(Ireland),Ireland"	"Stephen Dedalus,Simon Dedalus,Fr. John Conmee,Mary Dedalus"	"9780142437346(ISBN10: 0142437344)"	"English"	"https://www.goodreads.com/book/show/7588.A_Portrait_of_the_Artist_as_a_Young_Man"
"Dr. Jekyll and Mr. Hyde"	"Graphic Horror"	"Robert Louis Stevenson; Vladimir Nabokov; Dan Chaon"	"3.83"	"658,422"	"28,903"	"Robert Louis Stevenson's masterpiece of the duality of good and evil in man's nature sprang from the darkest recesses of his own unconscious—during a nightmare from which his wife awakened him, alerted by his screams. More than a hundred years later, this tale of the mild-mannered Dr. Jekyll and the drug that unleashes his evil, inner persona—the loathsome, twisted Mr. Hyde—has lost none of its ability to shock. Its realistic police-style narrative chillingly relates Jekyll's desperation as Hyde gains control of his soul—and gives voice to our own fears of the violence and evil within us. Written before Freud's naming of the ego and the id, Stevenson's enduring classic demonstrates a remarkable understanding of the personality's inner conflicts—and remains the irresistibly terrifying stuff of our worst nightmares."	"139"	"September 2, 2003"	"Classics; Horror; Fiction; Gothic; Mystery; Science Fiction; Fantasy"	"United Kingdom,England,London, England"	"Dr Hastie Lanyon,Dr. Henry Jekyll,Mr. Edward Hyde,Gabriel John Utterson,Richard Enfield,Poole (Jekyll & Hyde),Sir Danvers Carew,Guest,Inspector Newcomen"	"9780451528957(ISBN10: 0451528956)"	"English"	"https://www.goodreads.com/book/show/51496.Dr_Jekyll_and_Mr_Hyde"
"Cloud Atlas"	"None"	"David  Mitchell"	"4.01"	"266,176"	"23,626"	"A postmodern visionary who is also a master of styles of genres, David Mitchell combines flat-out adventure, a Nabokovian lore of puzzles, a keen eye for character, and a taste for mind-bending philosophical and scientific speculation in the tradition of Umberto Eco, Haruki Murakami, and Philip K. Dick. The result is brilliantly original fiction as profund as it is playful. Now in his new novel, David Mitchell explores with daring artistry fundamental questions of reality and identity.Cloud Atlasbegins in 1850 with Adam Ewing, an American notary voyaging from the Chatham Isles to his home in California. Along the way, Ewing is befriended by a physician, Dr. Goose, who begins to treat him for a rare species of brain parasite. . . .Abruptly, the action jumps to Belgium in 1931, where Robert Frobisher, a disinherited bisexual composer, contrives his way into the household of an infirm maestro who has a beguiling wife and a nubile daughter. . . . From there we jump to the West Coast in the 1970s and a troubled reporter named Luisa Rey, who stumbles upon a web of corporate greed and murder that threatens to claim her life. . . . And onward, with dazzling virtuosity, to an inglorious present-day England; to a Korean superstate of the near future where neocapitalism has run amok; and, finally, to a postapocalyptic Iron Age Hawaii in the last days of history.But the story doesn't end even there. The narrative then boomerangs back through centuries and space, returning by the same route, in reverse, to its starting point. Along the way, Mitchell reveals how his disparate characters connect, how their fates intertwine, and how their souls drift across time like clouds across the sky.As wild as a videogame, as mysterious as a Zen koan,Cloud Atlasis an unforgettable tour de force that, like its incomparable author, has transcended its cult classic status to become a worldwide phenomenon."	"509"	"August 17, 2004"	"Fiction; Science Fiction; Fantasy; Historical Fiction; Dystopia; Book Club; Literary Fiction"	"Chatham Islands(New Zealand),Neerbeke, West Vlaanderen(Belgium),Buenas Yerbas(United States),London, England,Seoul, South Korea(Korea, Republic of),Maui, Hawaii(United States),Belgium,The United States of America,England,South Korea(Korea, Republic of)"	"Adam Ewing,Autua,Dr. Goose,Robert Frobisher,Rufus Sixsmith,Vyvyan Ayrs,Jocasta Ayrs,Eva van Outryve de Crommelynck,Luisa Rey,Timothy Cavendish,Sonmi~451,Zachry,Meronym,Hae-Joo Im,Mr. Meeks,Ernie Blacksmith,Nurse Noakes,Javier Gomez,Fay Li,Bill Smoke,Joe Napier,Yoona-939,Isaac Sachs,Old Georgie"	"9780375507250(ISBN10: 0375507256)"	"English"	"https://www.goodreads.com/book/show/49628.Cloud_Atlas"
"Tao Te Ching"	"SUNY series in Chinese Philosophy and Culture"	"Lao Tzu; Gia-Fu Feng; Jane English"	"4.29"	"180,818"	"9,397"	"A lucid translation of the well-known Taoist classic by a leading scholar-now in a Shambhala Pocket Library edition.Written more than two thousand years ago, theTao Teh Ching, or -The Classic of the Way and Its Virtue, - is one of the true classics of the world of spiritual literature.Traditionally attributed to the legendary -Old Master, - Lao Tzu, theTao Teh Chingteaches that the qualities of the enlightened sage or ideal ruler are identical with those of the perfected individual.Today, Lao Tzu's words are as useful in mastering the arts of leadership in business and politics as they are in developing a sense of balance and harmony in everyday life. To follow theTaoor Way of all things and realize their true nature is to embody humility, spontaneity, and generosity.John C. H. Wu has done a remarkable job of rendering this subtle text into English while retaining the freshness and depth of the original. A jurist and scholar, Dr. Wu was a recognized authority on Taoism and the translator of several Taoist and Zen texts and of Chinese poetry.This book is part of the Shambhala Pocket Library series. The Shambhala Pocket Library is a collection of short, portable teachings from notable figures across religious traditions and classic texts.The covers in this series are rendered by Colorado artist Robert Spellman. The books in this collection distill the wisdom and heart of the work Shambhala Publications has published over 50 years into a compact format that is collectible, reader-friendly, and applicable to everyday life."	"107"	"August 28, 1989"	"Philosophy; Nonfiction; Classics; Spirituality; Religion; Poetry; China"	"Unknown"	"Unknown"	"9780679724346(ISBN10: 0679724346)"	"English"	"https://www.goodreads.com/book/show/67896.Tao_Te_Ching"
"The Hunchback of Notre-Dame"	"None"	"Victor Hugo; Walter J. Cobb; Lucie Konvičková"	"4.02"	"216,632"	"9,023"	"This extraordinary historical French gothic novel, set in Medieval Paris under the twin towers of its greatest structure and supreme symbol, the cathedral of Notre-Dame, is the haunting drama of Quasimodo, the disabled bell-ringer of Notre-Dame, as he struggles to stand up to his ableist guardian Claude Frollo, who also wants to commit genocide against Paris' Romani population.The novel has been described as a key text in French literature[1] and has been adapted for film over a dozen times, in addition to numerous television and stage adaptations, such as a 1923 silent film with Lon Chaney, a 1939 sound film with Charles Laughton, and a 1996 Disney animated film with Tom Hulce (both as Quasimodo).The novel sought to preserve values of French culture in a time period of great change, which resulted in the destruction of many French Gothic structures. The novel made Notre-Dame de Paris a national icon and served as a catalyst for renewed interest in the restoration of Gothic form."	"510"	"April 10, 2001"	"Classics; Fiction; Historical Fiction; France; Gothic; Literature; French Literature"	"Paris(France),France"	"Quasimodo (Notre-Dame de Paris),Claude Frollo,Esmeralda,Pierre Gringoire,Captain Phoebus de Chateaupers,Sister Gudule,Jean Frollo"	"9780451527882(ISBN10: 0451527887)"	"English"	"https://www.goodreads.com/book/show/30597.The_Hunchback_of_Notre_Dame"
"Daughter of Smoke & Bone"	"Daughter of Smoke & Bone"	"Laini Taylor"	"3.99"	"383,972"	"35,545"	"Around the world, black hand prints are appearing on doorways, scorched there by winged strangers who have crept through a slit in the sky.In a dark and dusty shop, a devil’s supply of human teeth grows dangerously low.And in the tangled lanes of Prague, a young art student is about to be caught up in a brutal otherworldly war.Meet Karou. She fills her sketchbooks with monsters that may or may not be real, she’s prone to disappearing on mysterious "errands", she speaks many languages - not all of them human - and her bright blue hairactuallygrows out of her head that color. Who is she? That is the question that haunts her, and she’s about to find out.When beautiful, haunted Akiva fixes fiery eyes on her in an alley in Marrakesh, the result is blood and starlight, secrets unveiled, and a star-crossed love whose roots drink deep of a violent past. But will Karou live to regret learning the truth about herself?"	"418"	"September 27, 2011"	"Fantasy; Young Adult; Romance; Paranormal; Urban Fantasy; Angels; Fiction"	"Prague (Praha)(Czech Republic),Marrakesh (Marrakech)(Morocco),Eretz"	"Madrigal,Karou,Akiva (Daughter of Smoke & Bone),Kazimir,Zuzana,Issa,Brimstone,Thiago,Mik,Ziri"	"9780316134026(ISBN10: 0316134023)"	"English"	"https://www.goodreads.com/book/show/8490112-daughter-of-smoke-bone"
"Unbroken: A World War II Story of Survival, Resilience and Redemption"	"None"	"Laura Hillenbrand"	"4.39"	"991,954"	"52,404"	"On a May afternoon in 1943, an Army Air Forces bomber crashed into the Pacific Ocean and disappeared, leaving only a spray of debris and a slick of oil, gasoline, and blood. Then, on the ocean surface, a face appeared. It was that of a young lieutenant, the plane's bombardier, who was struggling to a life raft and pulling himself aboard. So began one of the most extraordinary odysseys of the Second World War.The lieutenant’s name was Louis Zamperini. In boyhood, he'd been a cunning and incorrigible delinquent, breaking into houses, brawling, and fleeing his home to ride the rails. As a teenager, he had channeled his defiance into running, discovering a prodigious talent that had carried him to the Berlin Olympics and within sight of the four-minute mile. But when war had come, the athlete had become an airman, embarking on a journey that led to his doomed flight, a tiny raft, and a drift into the unknown.Ahead of Zamperini lay thousands of miles of open ocean, leaping sharks, a foundering raft, thirst and starvation, enemy aircraft, and, beyond, a trial even greater. Driven to the limits of endurance, Zamperini would answer desperation with ingenuity; suffering with hope, resolve, and humor; brutality with rebellion. His fate, whether triumph or tragedy, would be suspended on the fraying wire of his will."	"475"	"November 16, 2010"	"Nonfiction; History; Biography; Book Club; World War II; War; Historical"	"Unknown"	"Louie Zamperini,Russell Allen Phillips,Pete Zamperini,Stanley Pillsbury,Harry Brooks,Payton Jordan,Anthony Zamperini,Louise Zamperini,Francis McNamara (Mac),William Harris,Fred Garrett,Frank Tinker,Thorbjørn Christiansen,Sylvia Zamperini Flammer,Virginia Zamperini,Lynn Moody,Cecy Perry,Cynthia Zamperini (Applewhite),Harry Read,Yukichi Kano"	"9781400064168(ISBN10: 1400064163)"	"English"	"https://www.goodreads.com/book/show/8664353-unbroken"
"Infinite Jest"	"None"	"David Foster Wallace"	"4.25"	"100,573"	"12,838"	"A gargantuan, mind-altering tragi-comedy about the Pursuit of Happiness in America.Set in an addicts' halfway house and a tennis academy, and featuring the most endearingly screwed-up family to come along in recent fiction,Infinite Jestexplores essential questions about what entertainment is and why it has come to so dominate our lives; about how our desire for entertainment affects our need to connect with other people; and about what the pleasures we choose say about who we are.Equal parts philosophical quest and screwball comedy,Infinite Jestbends every rule of fiction without sacrificing for a moment its own entertainment value. It is an exuberant, uniquely American exploration of the passions that make us human—and one of those rare books that renew the idea of what a novel can do."	"1088"	"January 1, 2005"	"Fiction; Classics; Literature; Novels; Contemporary; Humor; Literary Fiction"	"Massachusetts(United States),Tucson, Arizona(United States),Massachusetts Institute of Technology (MIT)(United States),Boston, Massachusetts(United States)"	"Hal Incandenza,Joelle Van Dyne,Michael Pemulis,Mario Incandenza,Ken Erdedy,Avril Incandenza,Orin Incandenza,Randy Lenz,Ortho Stice,Tiny Ewell,Poor Tony Krause,Clenette Henderson,Remy Marathe,Hugh Steeply,Pat Montesian,Ann Kittenplan,Trevor Axford,LaMont Chu,Geoffrey Day,Gerhardt Schtitt,Ted Schacht,Dr. James Orin Incandenza,Katherine Ann Gompert,Dr. Charles Tavis,Mildred L. Bonk,Harriet Bonk-Green,Jim Troelsch,Donald W. Gately,Bruce Green,Emil Minty,Lyle"	"Unknown"	"English"	"https://www.goodreads.com/book/show/6759.Infinite_Jest"
"The Host"	"None"	"Stephenie Meyer"	"3.86"	"1,045,943"	"45,243"	"Melanie Stryder refuses to fade away. The earth has been invaded by a species that take over the minds of human hosts while leaving their bodies intact. Wanderer, the invading "soul" who has been given Melanie's body, didn't expect to find its former tenant refusing to relinquish possession of her mind.As Melanie fills Wanderer's thoughts with visions of Jared, a human who still lives in hiding, Wanderer begins to yearn for a man she's never met. Reluctant allies, Wanderer and Melanie set off to search for the man they both love.Also see: Alternate Cover Editions for this ISBN [ACE]ACE #1-ACE #2"	"619"	"May 6, 2008"	"Fantasy; Young Adult; Science Fiction; Romance; Fiction; Dystopia; Paranormal"	"Arizona(United States)"	"Melanie Stryder,Ian O'Shea,Wanderer,Jamie Stryder,Jebediah Stryder,Kyle O'Shea,Jared Howe"	"9780316068048(ISBN10: 0316068047)"	"English"	"https://www.goodreads.com/book/show/1656001.The_Host"
"Carrie"	"None"	"Stephen        King"	"3.99"	"835,595"	"33,435"	"A modern classic, Carrie introduced a distinctive new voice in American fiction -- Stephen King. The story of misunderstood high school girl Carrie White, her extraordinary telekinetic powers, and her violent rampage of revenge, remains one of the most barrier-breaking and shocking novels of all time.Make a date with terror and live the nightmare that is...Carrie--back cover"	"272"	"January 1, 2005"	"Horror; Fiction; Thriller; Classics; Fantasy; Paranormal; Supernatural"	"Chamberlain, Maine(United States),Maine(United States)"	"Carrie White,Margaret White,Tommy Ross,Chris Hargensen,Sue Snell,Rita Desjardin,Billy Nolan"	"9781416524304(ISBN10: 1416524304)"	"English"	"https://www.goodreads.com/book/show/10592.Carrie"
"Death of a Salesman"	"None"	"Arthur Miller"	"3.59"	"257,129"	"9,572"	"'For a salesman, there is no rock bottom to life. He don't put a bolt to a nut, he don't tell you the law or give you medicine. He's a man way out there in the blue, riding on a smile and a shoeshine.'Willy Loman has been a salesman for 34 years. At 60, he is cast aside, his usefulness now exhausted. With no future to dream about he must face the crushing disappointments of his past. He takes one final brave action, but is he heroic at last?, or a self-deluding fool?"	"144"	"January 1, 1994"	"Classics; Plays; Fiction; Drama; School; Theatre; Literature"	"New York City, New York(United States)"	"Willy Loman,Linda Loman,Happy Loman,Biff Loman,Ben Loman,Howard Wagner"	"9780435233075(ISBN10: 0435233076)"	"English"	"https://www.goodreads.com/book/show/12898.Death_of_a_Salesman"
"Pippi Longstocking"	"Pippi Långstrump"	"Astrid Lindgren; Michael Chesworth; Louis S. Glanzman"	"4.15"	"208,538"	"5,794"	"Tommy and his sister Annika have a new neighbor, and her name is Pippi Longstocking. She has crazy red pigtails, no parents to tell her what to do, a horse that lives on her porch, and a flair for the outrageous that seems to lead to one adventure after another!"	"160"	"April 21, 2005"	"Classics; Childrens; Fiction; Middle Grade; Fantasy; Young Adult; Humor"	"Sweden"	"Tommy Settergren,Pippi Långstrump,Annika Gannec,Mrs. Settergren,Mr. Nilsson the monkey"	"9780142402498(ISBN10: 0142402494)"	"English"	"https://www.goodreads.com/book/show/19302.Pippi_Longstocking"
"The Beach"	"None"	"Alex Garland"	"3.99"	"97,232"	"4,577"	"The irresistible novel that was adapted into a major motion picture starring Leonardo DiCaprio.The Khao San Road, Bangkok -- first stop for the hordes of rootless young Westerners traveling in Southeast Asia. On Richard's first night there, in a low-budget guest house, a fellow traveller slashes his wrists, bequeathing to Richard a meticulously drawn map to "the Beach."The Beach, as Richard has come to learn, is the subject of a legend among young travellers in Asia: a lagoon hidden from the sea, with white sand and coral gardens, freshwater falls surrounded by jungle, plants untouched for a thousand years. There, it is rumoured, a carefully selected international few have settled in a communal Eden.Haunted by the figure of Mr. Duck -- the name by which the Thai police have identified the dead man -- and his own obsession with Vietnam movies, Richard sets off with a young French couple to an island hidden away in an archipelago forbidden to tourists. They discover the Beach, and it is as beautiful and idyllic as it is reputed to be. Yet over time it becomes clear that Beach culture, as Richard calls it, has troubling, even deadly, undercurrents.Spellbinding and hallucinogenic, The Beach by Alex Garland -- both a national bestseller and his debut -- is a highly accomplished and suspenseful novel that fixates on a generation in their twenties, who, burdened with the legacy of the preceding generation and saturated by popular culture, long for an unruined landscape, but find it difficult to experience the world first hand."	"436"	"February 1, 1998"	"Fiction; Travel; Thriller; Adventure; Contemporary; Asia; Novels"	"Thailand,Bangkok(Thailand),Southeast Asia"	"Unknown"	"9781573226523(ISBN10: 1573226521)"	"English"	"https://www.goodreads.com/book/show/607639.The_Beach"
"Evermore"	"The Immortals"	"Alyson Noel"	"3.60"	"298,225"	"10,827"	"The first book in Alyson Noël's extraordinary new Immortals series. Enter an enchanting new world, where true love never dies...After a horrible accident claims the lives of her family, sixteen-year-old Ever Bloom can see people's auras, hear their thoughts, and know someone's entire life story by touching them. Going out of her way to avoid human contact to suppress her abilities, she has been branded a freak at her new high school—but everything changes when she meets Damen Auguste.Damen is gorgeous, exotic and wealthy. He's the only one who can silence the noise and random energy in her head—wielding a magic so intense, it's as though he can peer straight into her soul. As Ever is drawn deeper into his enticing world of secrets and mystery, she's left with more questions than answers. And she has no idea just who he really is—orwhathe is. The only thing she knows to be true is that she's falling deeply and helplessly in love with him."	"301"	"February 3, 2009"	"Young Adult; Fantasy; Romance; Paranormal; Paranormal Romance; Fiction; Supernatural"	"Laguna Beach, California(United States)"	"Ever Bloom,Damen Auguste,Drina,Miles,Haven Turner"	"9780312532758(ISBN10: 031253275X)"	"English"	"https://www.goodreads.com/book/show/3975774-evermore"
"I Know Why the Caged Bird Sings"	"Maya Angelou's Autobiography"	"Maya Angelou"	"4.30"	"577,099"	"19,098"	"Maya Angelou’s debut memoir is a modern American classic beloved worldwide. Her life story is told in the documentary film And Still I Rise, as seen on PBS’s American Masters.Here is a book as joyous and painful, as mysterious and memorable, as childhood itself. I Know Why the Caged Bird Sings captures the longing of lonely children, the brute insult of bigotry, and the wonder of words that can make the world right. Maya Angelou’s debut memoir is a modern American classic beloved worldwide.Sent by their mother to live with their devout, self-sufficient grandmother in a small Southern town, Maya and her brother, Bailey, endure the ache of abandonment and the prejudice of the local “powhitetrash.” At eight years old and back at her mother’s side in St. Louis, Maya is attacked by a man many times her age—and has to live with the consequences for a lifetime. Years later, in San Francisco, Maya learns that love for herself, the kindness of others, her own strong spirit, and the ideas of great authors (“I met and fell in love with William Shakespeare”) will allow her to be free instead of imprisoned.Poetic and powerful,I Know Why the Caged Bird Singswill touch hearts and change minds for as long as people read."	"289"	"November 1, 1993"	"Nonfiction; Classics; Memoir; Biography; Autobiography; Poetry; Feminism"	"Arkansas(United States),California(United States),Stamps, Arkansas(United States),San Francisco, California(United States),The United States of America"	"Maya Angelou,Bailey Johnson Jr.,Annie "Momma" Henderson,Uncle Willie,Bailey Johnson,Vivian Baxter,Mr. Freeman (I Know Why The Caged Bird Sings)"	"9780553279375(ISBN10: 0553279378)"	"English"	"https://www.goodreads.com/book/show/13214.I_Know_Why_the_Caged_Bird_Sings"
"Requiem for a Dream"	"None"	"Hubert Selby Jr.; Darren Aronofsky; Richard Price"	"4.11"	"64,578"	"2,269"	"In Coney Island, Brooklyn, lonely widow Sarah Goldfarb wants nothing more than to lose weight and appear on a television game show. In her obsessive quest, she becomes addicted to diet pills, while her junkie son, Harry, along with his girlfriend, Marion, and best friend, Tyrone, attempt to secure an illicit shortcut to wealth and leisure by selling heroin.Entranced by the gleaming visions of their futures, these four convince themselves that unexpected setbacks are only temporary. Even as their lives slowly deteriorate around them, they cling to their delusions and become utterly consumed in a spiral of drugs and addiction, refusing to see that they have instead created their own worst nightmares."Selby's place is in the front rank of American novelists . . . To understand Selby's work is to understand the anguish of America." —The New York Times Book Review"	"279"	"October 12, 1999"	"Fiction; Classics; Thriller; Contemporary; Mystery; Novels; Drugs"	"Coney Island, New York(United States)"	"Tyrone C,Sara Goldfarb,Harry Goldfarb,Marion Silver"	"9781560252481(ISBN10: 1560252480)"	"English"	"https://www.goodreads.com/book/show/46945.Requiem_for_a_Dream"
"The Scarlet Pimpernel"	"The Scarlet Pimpernel (chronological order)"	"Emmuska Orczy"	"4.07"	"141,176"	"8,582"	"Armed with only his wits and his cunning, one man recklessly defies the French revolutionaries and rescues scores of innocent men, women, and children from the deadly guillotine. His friends and foes know him only as the Scarlet Pimpernel. But the ruthless French agent Chauvelin is sworn to discover his identity and to hunt him down."	"182"	"February 28, 2005"	"Classics; Historical Fiction; Fiction; Romance; Adventure; Historical; Mystery"	"England,France(, 1792),London, England,Paris(France),Dover, Kent, England(United Kingdom),United Kingdom"	"Armand Chauvelin,Marguerite Blakeney,George IV of Great Britain and Ireland,Sir Percy Blakeney,Armand St. Just,Suzanne de Tournay,Sir Andrew Ffoulkes,Lord Anthony Dewhurst"	"9781576469231(ISBN10: 1576469239)"	"English"	"https://www.goodreads.com/book/show/136116.The_Scarlet_Pimpernel"
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America"	"None"	"Erik Larson"	"4.00"	"752,281"	"44,510"	"Author Erik Larson imbues the incredible events surrounding the 1893 Chicago World's Fair with such drama that readers may find themselves checking the book's categorization to be sure that 'The Devil in the White City' is not, in fact, a highly imaginative novel. Larson tells the stories of two men: Daniel H. Burnham, the architect responsible for the fair's construction, and H.H. Holmes, a serial killer masquerading as a charming doctor.Burnham's challenge was immense. In a short period of time, he was forced to overcome the death of his partner and numerous other obstacles to construct the famous "White City" around which the fair was built. His efforts to complete the project, and the fair's incredible success, are skillfully related along with entertaining appearances by such notables as Buffalo Bill Cody, Susan B. Anthony, and Thomas Edison.The activities of the sinister Dr. Holmes, who is believed to be responsible for scores of murders around the time of the fair, are equally remarkable. He devised and erected the World's Fair Hotel, complete with crematorium and gas chamber, near the fairgrounds and used the event as well as his own charismatic personality to lure victims.Combining the stories of an architect and a killer in one book, mostly in alternating chapters, seems like an odd choice but it works. The magical appeal and horrifying dark side of 19th-century Chicago are both revealed through Larson's skillful writing. - John Moe"	"464"	"February 11, 2003"	"Nonfiction; History; True Crime; Book Club; Crime; Historical; Mystery"	"Chicago, Illinois(United States),Illinois(United States)"	"Daniel Burnham,H.H. Holmes"	"9780609608449(ISBN10: 0609608444)"	"English"	"https://www.goodreads.com/book/show/397483.The_Devil_in_the_White_City"
"The Talented Mr. Ripley"	"Ripley"	"Patricia Highsmith"	"3.95"	"115,107"	"8,923"	"Now a Netflix SeriesIt’s here, in the first volume of Patricia Highsmith’s five-book Ripley series, that we are introduced to the suave Tom Ripley, a young striver seeking to leave behind his past as an orphan bullied for being a “sissy.” Newly arrived in the heady world of Manhattan, Ripley meets a wealthy industrialist who hires him to bring his playboy son, Dickie Greenleaf, back from gallivanting in Italy. Soon Ripley’s fascination with Dickie’s debonair lifestyle turns obsessive as he finds himself enraged by Dickie’s ambivalent affections for Marge, a charming American dilettante, and Ripley begins a deadly game.“Sinister and strangely alluring,” (Mark Harris,Entertainment Weekly)The Talented Mr. Ripleyserves as an unforgettable introduction to this smooth confidence man, whose talent for self-invention is as unnerving—and unnervingly revealing of the American psyche—as ever."	"271"	"June 17, 2008"	"Fiction; Classics; Mystery; Thriller; Crime; Mystery Thriller; Book Club"	"Italy,New York City, New York(United States),Italian Riviera(Italy),Mongibello(Italy),Rome(Italy),Venice(Italy)"	"Tom Ripley,Dickie Greenleaf,Marge Sherwood,Freddie Miles"	"Unknown"	"English"	"https://www.goodreads.com/book/show/2247142.The_Talented_Mr_Ripley"
"Crash"	"None"	"J.G. Ballard"	"3.60"	"29,842"	"2,823"	"In Ballard's hallucinatory novel, the car provides the hellish tableau in which Vaughan, a "TV scientist" turned "nightmare angel of the highways," experiments with erotic atrocities among auto crash victims, each more sinister than the last. James Ballard, his friend and fellow obsessive, tells the story of this twisted visionary as he careens rapidly toward his own demise in an intentionally orchestrated car crash with Elizabeth Taylor. A classic work of cutting edge fiction,Crashexplores the disturbing potentialities of contemporary society's increasing dependence on technology as intermediary in human relations."	"224"	"October 5, 2001"	"Fiction; Science Fiction; Horror; Novels; Classics; Literature; British Literature"	"Unknown"	"James Ballard,Dr. Robert Vaughan"	"9780312420338(ISBN10: 0312420331)"	"English"	"https://www.goodreads.com/book/show/70241.Crash"
"Jonathan Strange & Mr Norrell"	"Strange & Norrell"	"Susanna Clarke"	"3.87"	"253,581"	"21,081"	"The year is 1806. England is beleaguered by the long war with Napoleon, and centuries have passed since practical magicians faded into the nation's past. But scholars of this glorious history discover that one remains: the reclusive Mr Norrell, whose displays of magic send a thrill through the country.Proceeding to London, he raises a beautiful woman from the dead and summons an army of ghostly ships to terrify the French. Yet the cautious, fussy Norrell is challenged by the emergence of another magician: the brilliant novice Jonathan Strange.Young, handsome and daring, Strange is the very antithesis of Norrell. So begins a dangerous battle between these two great men which overwhelms that between England and France. And their own obsessions and secret dabblings with the dark arts are going to cause more trouble than they can imagine."	"1006"	"August 1, 2006"	"Fantasy; Fiction; Historical Fiction; Historical; Magic; Audiobook; Science Fiction Fantasy"	"United Kingdom(, 1806),England,London, England,Yorkshire, England,Venice(Italy),Italy"	"Jonathan Strange,Gilbert Norrell,George Gordon Byron, 6th Baron Byron,John Uskglass (The Raven King),John Childermass,Vinculus,Arthur Wellesley, 1st Duke of Wellington,Stephen Black,John Segundus,Mr. Honeyfoot,Christopher Drawlight,Henry Lascelles,Arabella Strange,Sir Walter Pole,Lady Emma Pole,Henry Woodhope,Dr. Lancelot Greysteel,Louisa Greysteel,Flora Greysteel,Mrs Delgado,The Gentleman with the Thistledown Hair"	"Unknown"	"English"	"https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell"
"A Court of Wings and Ruin"	"A Court of Thorns and Roses"	"Sarah J. Maas"	"4.46"	"2,625,457"	"175,749"	"FEYRE WILL BRING VENGEANCE.She has left the Night Court - and her High Lord - and is playing a deadly game of deceit. In the Spring Court, Tamlin is making deals with the invading king threatening to bring Prythian to its knees, and Feyre is determined to uncover his plans. But to do so she must weave a web of lies, and one slip may spell doom not only for Feyre, but for her world as well.As mighty armies grapple for power, Feyre must decide who to trust amongst the dazzling and lethal High Lords - and hunt for allies in unexpected places.BUT WHILE WAR RAGES, IT IS HER HEART THAT WILL FACE THE GREATEST BATTLE.THE THRILLING THIRD BOOK IN #1NEW YORK TIMESBESTSELLING FANTASY SERIES FROM SARAH J. MAAS."	"705"	"May 2, 2017"	"Fantasy; Romance; Romantasy; Young Adult; Fiction; Fae; New Adult"	"Prythian"	"Rhysand,Elain Archeron,Lucien Vanserra,Feyre Archeron,Tamlin (A Court of Thorns and Roses),Cassian (A Court of Thorns and Roses),Azriel (A Court of Thorns and Roses),Nesta Archeron"	"9781408857908(ISBN10: 1408857901)"	"English"	"https://www.goodreads.com/book/show/23766634-a-court-of-wings-and-ruin"
